Month_Ban,Year_Ban,Month_Tax,Year_Tax,Ban,Tax,Location,State
4,2017,,,1,0,Aberdeen City,Maryland
10,2021,10,2021,1,1,Baltimore City,Maryland
3,2011,,,1,0,Chestertown City,Maryland
,,7,2020,0,1,Howard County,Maryland
9,2017,,,1,0,Harford County,Maryland
,,1,2012,0,1,Montgomery County,Maryland
1,2024,,,1,0,Anne Arundel County,Maryland
1,2024,,,1,0,Frederick County,Maryland
11,2023,,,1,0,Baltimore County,Maryland
1,2024,,,1,0,Prince George's County,Maryland
12,2016,,,1,0,Takoma Park City,Maryland
1,2023,,,1,0,Talbot County,Maryland
7,2020,,,1,0,Westminster County,Maryland
7,2022,,,1,0,Sussex,Delaware
7,2022,,,1,0,Kent,Delaware
7,2022,,,1,0,New Castle ,Delaware
,,1,2010,0,1,District of Columbia,District of Columbia
3,2020,,,1,0,Allegany County,New York
3,2020,,,1,0,Broome County,New York
3,2020,,,1,0,Chemung County,New York
3,2020,,,1,0,Chenango,New York
3,2020,,,1,0,Cortland,New York
3,2020,,,1,0,Delaware,New York
3,2020,,,1,0,Herkimer,New York
3,2020,,,1,0,Livingston,New York
3,2020,,,1,0,Madison,New York
3,2020,,,1,0,Onandaga,New York
3,2020,,,1,0,Oneida,New York
3,2020,,,1,0,Ontario,New York
3,2020,,,1,0,Otsego,New York
3,2020,,,1,0,Schoharie,New York
3,2020,,,1,0,Schuyler,New York
3,2020,,,1,0,Steuben,New York
3,2020,,,1,0,Tioga,New York
3,2020,,,1,0,Tompkins,New York
3,2020,,,1,0,Yates,New York
,,1,2023,0,1,Charlottesville City,Virginia
,,4,2022,0,1,Falls Church City,Virginia
,,1,2022,0,1,Roanoke City,Virginia
,,1,2023,0,1,Albemarle County,Virginia
,,7,2022,0,1,Loudoun County,Virginia
,,1,2022,0,1,Arlington County,Virginia
,,1,2022,0,1,Alexandria City,Virginia
,,1,2022,0,1,Fairfax County,Virginia
,,1,2022,0,1,Fredericksburg City,Virginia
1,2024,,,1,0,Lancaster,Pennsylvania
5,2023,,,1,0,York City,Pennsylvania
,,,,0,0,Cameron,Pennsylvania
,,,,0,0,Centre,Pennsylvania
,,,,0,0,Clearfield,Pennsylvania
,,,,0,0,Clinton,Pennsylvania
,,,,0,0,Columbia,Pennsylvania
,,,,0,0,Cumberland County,Pennsylvania
,,,,0,0,Dauphin,Pennsylvania
,,,,0,0,Franklin,Pennsylvania
,,,,0,0,Fulton,Pennsylvania
,,,,0,0,Huntingdon,Pennsylvania
,,,,0,0,Lackawanna,Pennsylvania
,,,,0,0,Lebanon,Pennsylvania
,,,,0,0,Luzerne,Pennsylvania
,,,,0,0,Lycoming,Pennsylvania
,,,,0,0,Mifflin,Pennsylvania
,,,,0,0,Montour,Pennsylvania
,,,,0,0,Northumberland County,Pennsylvania
,,,,0,0,Perry,Pennsylvania
,,,,0,0,Potter,Pennsylvania
,,,,0,0,Snyder,Pennsylvania
,,,,0,0,Susquehanna,Pennsylvania
,,,,0,0,Tioga,Pennsylvania
,,,,0,0,Wyoming,Pennsylvania
,,,,0,0,Allegany County,Maryland
,,,,0,0,Calvert County,Maryland
,,,,0,0,Caroline County,Maryland
,,,,0,0,Carroll County,Maryland
,,,,0,0,Cecil County,Maryland
,,,,0,0,Charles County,Maryland
,,,,0,0,Dorchester County,Maryland
,,,,0,0,Garrett County,Maryland
,,,,0,0,Kent County,Maryland
,,,,0,0,Queen Annes County,Maryland
,,,,0,0,Saint Marys County,Maryland
,,,,0,0,Somerset County,Maryland
,,,,0,0,Washington County,Maryland
,,,,0,0,Wicomico County,Maryland
,,,,0,0,Worcester County,Maryland
,,,,0,0,Accomack County,Virginia
,,,,0,0,Amelia County,Virginia
,,,,0,0,Amherst County,Virginia
,,,,0,0,Augusta County,Virginia
,,,,0,0,Bath County,Virginia
,,,,0,0,Botetourt County,Virginia
,,,,0,0,Buckingham County,Virginia
,,,,0,0,Caroline County,Virginia
,,,,0,0,Chesterfield County,Virginia
,,,,0,0,Culpeper County,Virginia
,,,,0,0,Cumberland County,Virginia
,,,,0,0,Dinwiddie County,Virginia
,,,,0,0,Essex County,Virginia
,,,,0,0,Fauquier County,Virginia
,,,,0,0,Fluvanna County,Virginia
,,,,0,0,Gloucester County,Virginia
,,,,0,0,Goochland County,Virginia
,,,,0,0,Greene County,Virginia
,,,,0,0,Hanover County,Virginia
,,,,0,0,Henrico County,Virginia
,,,,0,0,Isle of Wight County,Virginia
,,,,0,0,James City County,Virginia
,,,,0,0,King and Queen County,Virginia
,,,,0,0,King George County,Virginia
,,,,0,0,King William County,Virginia
,,,,0,0,Lancaster County,Virginia
,,,,0,0,Louisa County,Virginia
,,,,0,0,Madison County,Virginia
,,,,0,0,Mathews County,Virginia
,,,,0,0,Middlesex County,Virginia
,,,,0,0,Montgomery County,Virginia
,,,,0,0,Nelson County,Virginia
,,,,0,0,New Kent County,Virginia
,,,,0,0,Northampton County,Virginia
,,,,0,0,Northumberland County,Virginia
,,,,0,0,Orange County,Virginia
,,,,0,0,Powhatan County,Virginia
,,,,0,0,Prince George County,Virginia
,,,,0,0,Prince William County,Virginia
,,,,0,0,Rappahannock County,Virginia
,,,,0,0,Richmond County,Virginia
,,,,0,0,Rockbridge County,Virginia
,,,,0,0,Rockingham County,Virginia
,,,,0,0,Shenandoah County,Virginia
,,,,0,0,Spotsylvania County,Virginia
,,,,0,0,Stafford County,Virginia
,,,,0,0,Warren County,Virginia
,,,,0,0,York County,Virginia
,,,,0,0,Chesapeake City,Virginia
,,,,0,0,Hampton City,Virginia
,,,,0,0,Hopewell City,Virginia
,,,,0,0,Lexington City,Virginia
,,,,0,0,Manassas City,Virginia
,,,,0,0,Manassas Park City,Virginia
,,,,0,0,Newport News City,Virginia
,,,,0,0,Petersburg City,Virginia
,,,,0,0,Poqouson Ciry,Virginia
,,,,0,0,Portsmouth City,Virginia
,,,,0,0,Richmond City,Virginia
,,,,0,0,Suffolk City,Virginia
,,,,0,0,Virginia Beach City,Virginia
,,,,0,0,Waynesboro City,Virginia
,,,,0,0,Williamsburg City,Virginia
,,,,0,0,Westmoreland County,Virginia
,,,,0,0,Berkeley,West Virginia
,,,,0,0,Hampshire,West Virginia
,,,,0,0,Hardy,West Virginia
,,,,0,0,Jefferson,West Virginia
,,,,0,0,Mineral,West Virginia
,,,,0,0,Morgan,West Virginia
